# data = ppd03_1st15_ch1.tab
# channel = 1
# sample_rate = 11025
# classifier = SVM
FILE	BGNOISE	FM	HFM	SV	
T0000088_ch1	3	1	0	0	
T0000089_ch1	10	2	0	0	
T0000090_ch1	10	4	0	1	
T0000091_ch1	5	1	1	0	
T0000092_ch1	0	1	0	0	
T0000093_ch1	0	2	0	0	
T0000094_ch1	2	1	0	0	
T0000095_ch1	12	2	2	0	
T0000096_ch1	7	1	1	0	
T0000097_ch1	2	3	3	0	
T0000098_ch1	1	1	1	1	
T0000099_ch1	12	6	0	2	
T0000100_ch1	5	0	0	0	
T0000101_ch1	6	1	0	0	
T0000102_ch1	1	4	1	0	
T0000103_ch1	0	1	3	0	
T0000104_ch1	10	4	0	1	
T0000105_ch1	8	2	0	0	
T0000106_ch1	9	8	2	0	
T0000107_ch1	2	0	1	0	
T0000108_ch1	2	1	0	0	
T0000109_ch1	22	4	0	0	
T0000110_ch1	3	3	0	0	
T0000111_ch1	4	1	1	0	
T0000112_ch1	3	5	1	0	
T0000113_ch1	4	3	2	0	
T0000114_ch1	0	3	0	0	
T0000115_ch1	2	3	0	0	
T0000116_ch1	6	1	0	0	
T0000117_ch1	2	1	1	0	
T0000118_ch1	8	8	0	0	
T0000119_ch1	2	1	0	0	
T0000120_ch1	2	3	0	0	
T0000121_ch1	6	1	0	0	
T0000122_ch1	5	0	0	0	
T0000123_ch1	7	1	1	0	
T0000124_ch1	6	1	0	0	
T0000125_ch1	9	5	2	0	
T0000126_ch1	12	6	3	0	
T0000127_ch1	1	4	2	0	
T0000128_ch1	5	1	0	0	
T0000129_ch1	10	2	1	0	
T0000130_ch1	5	0	0	0	
T0000131_ch1	3	1	0	0	
T0000132_ch1	7	2	0	0	
T0000133_ch1	3	2	0	0	
T0000134_ch1	6	1	0	0	
T0000135_ch1	4	1	1	0	
T0000136_ch1	2	1	1	1	
T0000137_ch1	0	2	0	0	
T0000138_ch1	6	1	0	0	
T0000139_ch1	9	0	0	0	
T0000140_ch1	2	0	1	0	
T0000141_ch1	9	0	1	0	
T0000142_ch1	3	2	0	0	
T0000143_ch1	0	1	0	0	
T0000144_ch1	5	2	2	0	
T0000145_ch1	3	8	0	1	
T0000146_ch1	6	4	1	0	
T0000147_ch1	7	3	1	0	
T0000148_ch1	5	1	0	0	
T0000149_ch1	8	1	0	0	
T0000150_ch1	2	2	0	0	
T0000151_ch1	10	6	2	0	
T0000152_ch1	6	1	2	0	
T0000153_ch1	4	3	0	0	
T0000154_ch1	5	3	1	0	
T0000155_ch1	5	3	0	0	
T0000156_ch1	4	2	0	0	
T0000157_ch1	7	2	1	0	
T0000158_ch1	5	0	2	0	
T0000159_ch1	4	2	0	0	
T0000160_ch1	7	0	2	0	
T0000161_ch1	4	0	1	0	
T0000162_ch1	10	3	1	0	
T0000163_ch1	5	0	0	0	
T0000164_ch1	2	2	1	0	
T0000165_ch1	11	3	0	0	
T0000166_ch1	5	0	0	1	
T0000167_ch1	3	1	0	0	
T0000168_ch1	3	1	1	0	
T0000169_ch1	5	2	0	0	
T0000170_ch1	4	3	1	0	
T0000171_ch1	3	0	0	0	
T0000172_ch1	8	3	1	0	
T0000173_ch1	7	2	0	0	
T0000174_ch1	4	1	1	0	
T0000175_ch1	6	4	0	0	
T0000176_ch1	6	3	0	0	
T0000177_ch1	11	3	1	0	
T0000178_ch1	6	0	1	0	
T0000179_ch1	2	2	0	0	
T0000180_ch1	5	1	1	0	
T0000181_ch1	11	1	2	0	
T0000182_ch1	3	3	0	0	
T0000183_ch1	3	2	0	0	
T0000184_ch1	4	3	0	0	
T0000185_ch1	1	2	1	0	
T0000186_ch1	4	1	1	2	
T0000187_ch1	1	2	1	0	
T0000188_ch1	5	1	0	1	
T0000189_ch1	4	1	0	2	
T0000190_ch1	0	3	0	0	
T0000191_ch1	7	3	0	0	
T0000192_ch1	5	1	0	0	
T0000193_ch1	2	1	0	0	
T0000194_ch1	5	2	1	0	
T0000195_ch1	12	3	0	0	
T0000196_ch1	4	1	0	0	
T0000197_ch1	7	1	0	0	
T0000198_ch1	8	0	0	0	
T0000199_ch1	6	1	2	0	
T0000200_ch1	5	0	1	0	
T0000201_ch1	8	0	0	0	
T0000202_ch1	4	1	0	0	
T0000203_ch1	4	1	0	0	
T0000204_ch1	4	0	0	1	
T0000205_ch1	8	0	0	0	
T0000206_ch1	8	0	0	0	
T0000207_ch1	6	0	0	1	
T0000208_ch1	4	2	1	0	
T0000209_ch1	17	0	0	0	
T0000210_ch1	6	1	0	0	
T0000211_ch1	11	1	0	0	
T0000212_ch1	6	4	0	0	
T0000213_ch1	5	1	0	0	
T0000214_ch1	2	2	0	0	
T0000215_ch1	4	1	0	0	
T0000216_ch1	0	3	0	0	
T0000217_ch1	4	1	0	0	
T0000218_ch1	7	0	1	0	
T0000219_ch1	4	0	2	0	
T0000220_ch1	2	4	0	0	
T0000221_ch1	2	4	1	0	
T0000222_ch1	5	4	1	0	
T0000223_ch1	4	1	1	0	
T0000224_ch1	3	1	0	0	
T0000225_ch1	9	2	0	0	
T0000226_ch1	3	1	1	0	
T0000227_ch1	3	2	0	0	
T0000228_ch1	4	7	1	0	
T0000229_ch1	3	0	2	0	
T0000230_ch1	1	2	0	0	
T0000231_ch1	2	1	0	0	
T0000232_ch1	0	2	0	0	
T0000233_ch1	7	1	0	0	
T0000234_ch1	0	1	0	0	
T0000235_ch1	2	2	0	0	
T0000236_ch1	5	1	0	0	
T0000237_ch1	5	0	0	0	
T0000238_ch1	18	7	3	0	
T0000239_ch1	14	5	0	0	
T0000240_ch1	5	3	2	0	
T0000241_ch1	8	8	0	0	
T0000242_ch1	1	2	0	0	
T0000243_ch1	20	8	2	0	
T0000244_ch1	8	1	0	0	
T0000245_ch1	2	4	0	0	
T0000246_ch1	3	1	0	0	
T0000247_ch1	5	2	0	0	
T0000248_ch1	5	0	0	0	
T0000249_ch1	11	2	1	0	
T0000250_ch1	7	2	0	0	
T0000251_ch1	17	5	1	0	
T0000252_ch1	1	2	1	0	
T0000253_ch1	17	2	1	0	
T0000254_ch1	5	1	1	0	
T0000255_ch1	6	1	0	1	
T0000256_ch1	8	1	1	0	
T0000257_ch1	6	0	1	0	
T0000258_ch1	8	0	0	0	
T0000259_ch1	4	3	0	0	
T0000260_ch1	9	3	3	0	
T0000261_ch1	7	2	0	0	
T0000262_ch1	12	3	0	0	
T0000263_ch1	9	3	0	0	
T0000264_ch1	5	1	0	0	
T0000265_ch1	6	1	1	0	
T0000266_ch1	6	1	0	0	
T0000267_ch1	8	0	0	0	
T0000268_ch1	11	2	0	0	
T0000269_ch1	0	1	0	0	
T0000270_ch1	3	2	0	0	
T0000271_ch1	5	0	0	0	
T0000272_ch1	7	0	1	0	
T0000273_ch1	5	0	0	0	
T0000274_ch1	4	0	0	0	
T0000275_ch1	9	0	0	0	
T0000276_ch1	5	0	0	0	
T0000277_ch1	2	1	1	0	
T0000278_ch1	6	0	1	0	
T0000279_ch1	9	0	3	0	
T0000280_ch1	4	2	1	0	
T0000281_ch1	7	0	2	0	
T0000282_ch1	1	0	1	0	
T0000283_ch1	3	0	2	0	
