# data = data_ch1.tab
# channel = 1
# sample_rate = 11025
# classifier = SVM
FILE	BGNOISE	FM	HFM	SV	start: 2012-09-07 16:24:11	Duration	
T0000000_ch1	3	0	0	2	2012-09-07 16:24:11	0.7	
T0000001_ch1	12	0	0	4	2012-09-07 16:24:12	3.8	
T0000002_ch1	0	0	0	1	2012-09-07 16:24:29	0.6	
T0000003_ch1	5	0	0	6	2012-09-07 16:24:34	3.0	
T0000004_ch1	1	0	0	9	2012-09-07 16:24:37	3.6	
T0000005_ch1	2	0	0	1	2012-09-07 16:24:42	1.0	
T0000006_ch1	1	0	0	0	2012-09-07 16:24:51	0.6	
T0000007_ch1	4	0	0	6	2012-09-07 16:25:24	2.3	
T0000008_ch1	1	0	0	6	2012-09-07 16:25:28	2.3	
T0000009_ch1	0	0	0	1	2012-09-07 16:25:52	0.7	
T0000010_ch1	0	0	0	1	2012-09-07 16:26:02	0.8	
T0000011_ch1	1	0	0	1	2012-09-07 16:26:05	1.0	
T0000012_ch1	0	0	0	5	2012-09-07 16:26:07	1.1	
T0000013_ch1	0	0	0	4	2012-09-07 16:26:08	1.5	
T0000014_ch1	0	0	0	2	2012-09-07 16:26:10	0.7	
T0000015_ch1	5	0	0	2	2012-09-07 16:26:11	0.9	
T0000016_ch1	0	0	0	1	2012-09-07 16:27:26	0.9	
T0000017_ch1	6	0	0	0	2012-09-07 16:27:31	0.9	
T0000018_ch1	3	0	0	3	2012-09-07 16:27:41	1.2	
T0000019_ch1	0	0	0	2	2012-09-07 16:27:53	1.2	
T0000020_ch1	4	0	0	4	2012-09-07 16:28:01	1.6	
T0000021_ch1	0	0	0	4	2012-09-07 16:28:03	1.7	
T0000022_ch1	1	0	0	4	2012-09-07 16:28:05	1.9	
T0000023_ch1	0	0	0	1	2012-09-07 16:28:08	0.8	
T0000024_ch1	0	0	0	2	2012-09-07 16:28:41	0.9	
T0000025_ch1	1	0	0	1	2012-09-07 16:29:14	0.6	
T0000026_ch1	1	0	0	2	2012-09-07 16:29:46	0.9	
T0000027_ch1	1	0	0	1	2012-09-07 16:30:11	0.8	
T0000028_ch1	1	0	0	2	2012-09-07 16:30:14	0.6	
T0000029_ch1	1	0	0	2	2012-09-07 16:30:41	0.8	
T0000030_ch1	0	0	0	2	2012-09-07 16:30:44	0.6	
T0000031_ch1	4	0	0	1	2012-09-07 16:30:49	0.7	
T0000032_ch1	0	0	0	2	2012-09-07 16:31:59	0.9	
T0000033_ch1	0	0	0	1	2012-09-07 16:33:54	0.6	
T0000034_ch1	4	0	0	1	2012-09-07 16:35:47	0.9	
T0000035_ch1	9	0	0	2	2012-09-07 16:35:50	2.0	
T0000036_ch1	0	0	0	1	2012-09-07 16:35:54	0.6	
T0000037_ch1	2	0	0	1	2012-09-07 16:36:13	0.7	
T0000038_ch1	1	0	0	0	2012-09-07 16:37:02	0.6	
T0000039_ch1	1	0	0	0	2012-09-07 16:37:05	0.6	
T0000040_ch1	1	0	0	0	2012-09-07 16:37:22	0.6	
T0000041_ch1	0	0	0	1	2012-09-07 16:37:32	0.6	
T0000042_ch1	2	0	0	0	2012-09-07 16:37:39	0.6	
T0000043_ch1	3	0	0	2	2012-09-07 16:38:28	0.8	
T0000044_ch1	1	0	0	0	2012-09-07 16:38:39	0.6	
T0000045_ch1	0	0	0	1	2012-09-07 16:39:17	0.9	
T0000046_ch1	1	0	0	1	2012-09-07 16:39:31	0.9	
T0000047_ch1	0	0	0	2	2012-09-07 16:39:35	0.6	
T0000048_ch1	1	0	0	0	2012-09-07 16:39:44	0.6	
T0000049_ch1	2	0	0	3	2012-09-07 16:40:22	0.9	
T0000050_ch1	0	0	0	1	2012-09-07 16:40:25	0.6	
T0000051_ch1	1	0	0	0	2012-09-07 16:42:29	0.6	
T0000052_ch1	0	0	0	4	2012-09-07 16:42:32	2.5	
T0000053_ch1	2	0	0	1	2012-09-07 16:42:34	0.7	
T0000054_ch1	2	0	0	0	2012-09-07 16:44:08	0.6	
T0000055_ch1	3	0	0	3	2012-09-07 16:44:08	1.1	
T0000056_ch1	0	0	0	3	2012-09-07 16:44:10	0.6	
T0000057_ch1	0	0	0	2	2012-09-07 16:44:10	0.6	
T0000058_ch1	2	0	0	2	2012-09-07 16:44:24	1.0	
T0000059_ch1	1	0	0	0	2012-09-07 16:45:27	0.6	
T0000060_ch1	2	0	0	3	2012-09-07 16:45:28	1.8	
T0000061_ch1	2	1	0	0	2012-09-07 16:45:30	1.0	
T0000062_ch1	0	0	0	2	2012-09-07 16:45:33	0.8	
T0000063_ch1	1	0	0	0	2012-09-07 16:47:00	0.6	
T0000064_ch1	2	0	0	1	2012-09-07 16:47:45	1.3	
T0000065_ch1	0	0	0	6	2012-09-07 16:47:46	2.9	
T0000066_ch1	3	0	0	1	2012-09-07 16:47:50	1.6	
T0000067_ch1	4	0	0	1	2012-09-07 16:47:55	0.7	
T0000068_ch1	0	0	0	1	2012-09-07 16:49:57	0.7	
T0000069_ch1	3	1	0	3	2012-09-07 16:50:09	1.4	
T0000070_ch1	22	0	0	3	2012-09-07 16:50:12	4.3	
T0000071_ch1	2	0	0	0	2012-09-07 16:50:38	0.6	
T0000072_ch1	0	0	0	1	2012-09-07 16:51:33	0.6	
T0000073_ch1	2	0	0	0	2012-09-07 16:52:36	0.8	
T0000074_ch1	6	0	0	3	2012-09-07 16:53:07	3.0	
T0000075_ch1	0	0	0	1	2012-09-07 16:54:00	0.6	
T0000076_ch1	0	0	0	2	2012-09-07 16:54:02	0.6	
T0000077_ch1	1	0	0	1	2012-09-07 16:54:04	0.6	
T0000078_ch1	1	0	0	1	2012-09-07 16:54:14	0.6	
T0000079_ch1	4	0	0	1	2012-09-07 16:54:15	1.7	
TOTAL		2	0	148	end: 2012-09-07 16:54:22	
P		0.0133	0.0000	0.9867	
