# data = data_ch1.tab
# channel = 1
# sample_rate = 11025
# classifier = SVM
FILE	BGNOISE	FM	HFM	SV	start: 2012-09-24 15:17:13	Duration	
T0000000_ch1	5	3	1	4	2012-09-24 14:46:44	1.7	
T0000001_ch1	10	3	3	2	2012-09-24 14:46:49	1.9	
T0000002_ch1	2	1	2	1	2012-09-24 14:46:53	0.7	
T0000003_ch1	5	2	0	0	2012-09-24 14:46:55	0.6	
T0000004_ch1	6	0	0	0	2012-09-24 14:46:57	0.6	
T0000005_ch1	2	3	0	0	2012-09-24 14:46:59	0.7	
T0000006_ch1	6	0	0	0	2012-09-24 14:47:06	0.6	
T0000007_ch1	3	4	0	0	2012-09-24 14:47:25	0.6	
T0000008_ch1	1	1	0	0	2012-09-24 14:47:31	0.6	
T0000009_ch1	1	1	1	0	2012-09-24 14:47:34	0.7	
T0000010_ch1	4	1	2	0	2012-09-24 14:47:36	1.1	
T0000011_ch1	4	1	0	0	2012-09-24 14:47:54	0.6	
T0000012_ch1	3	3	0	0	2012-09-24 14:47:57	1.2	
T0000013_ch1	4	2	1	0	2012-09-24 14:47:59	0.6	
T0000014_ch1	4	3	0	0	2012-09-24 14:48:04	0.6	
T0000015_ch1	6	0	0	0	2012-09-24 14:48:05	0.6	
T0000016_ch1	1	0	0	0	2012-09-24 14:48:11	0.6	
T0000017_ch1	3	1	0	0	2012-09-24 14:48:13	0.6	
T0000018_ch1	2	0	0	0	2012-09-24 14:48:14	0.7	
T0000019_ch1	2	1	0	0	2012-09-24 14:48:19	0.6	
T0000020_ch1	1	0	0	0	2012-09-24 14:48:21	0.6	
T0000021_ch1	5	0	0	0	2012-09-24 14:48:27	0.6	
T0000022_ch1	3	1	2	0	2012-09-24 14:48:31	0.7	
T0000023_ch1	4	2	0	0	2012-09-24 14:48:33	0.6	
T0000024_ch1	5	0	0	0	2012-09-24 14:48:38	0.6	
T0000025_ch1	1	3	1	0	2012-09-24 14:48:42	0.6	
T0000026_ch1	3	2	0	0	2012-09-24 14:48:44	0.6	
T0000027_ch1	5	2	0	0	2012-09-24 14:48:45	0.6	
T0000028_ch1	7	0	0	0	2012-09-24 14:48:46	0.6	
T0000029_ch1	1	1	0	0	2012-09-24 14:48:48	0.6	
T0000030_ch1	3	2	1	0	2012-09-24 14:48:49	0.6	
T0000031_ch1	5	1	0	0	2012-09-24 14:48:52	0.6	
T0000032_ch1	0	1	3	0	2012-09-24 14:48:56	1.0	
T0000033_ch1	7	3	2	0	2012-09-24 14:48:57	1.1	
T0000034_ch1	2	1	0	0	2012-09-24 14:48:58	0.6	
T0000035_ch1	4	2	0	0	2012-09-24 14:49:01	0.6	
T0000036_ch1	3	2	1	1	2012-09-24 14:49:02	0.6	
T0000037_ch1	6	1	1	0	2012-09-24 14:49:15	0.6	
T0000038_ch1	2	5	0	0	2012-09-24 14:49:18	0.6	
T0000039_ch1	8	0	0	0	2012-09-24 14:49:21	0.6	
T0000040_ch1	4	3	0	0	2012-09-24 14:49:25	0.6	
T0000041_ch1	5	1	0	0	2012-09-24 14:49:26	0.6	
T0000042_ch1	7	0	1	0	2012-09-24 14:49:28	0.7	
T0000043_ch1	2	0	0	0	2012-09-24 14:49:29	0.6	
T0000044_ch1	3	2	1	0	2012-09-24 14:49:37	0.6	
T0000045_ch1	3	3	0	0	2012-09-24 14:49:39	0.6	
T0000046_ch1	4	1	0	1	2012-09-24 14:49:40	0.7	
T0000047_ch1	6	0	0	0	2012-09-24 14:49:43	0.6	
T0000048_ch1	5	1	0	0	2012-09-24 14:49:45	0.6	
T0000049_ch1	7	1	0	0	2012-09-24 14:49:48	0.6	
T0000050_ch1	6	1	0	0	2012-09-24 14:49:51	0.8	
T0000051_ch1	6	2	0	0	2012-09-24 14:49:52	0.6	
T0000052_ch1	2	1	0	0	2012-09-24 14:49:55	0.6	
T0000053_ch1	5	1	1	0	2012-09-24 14:49:59	0.6	
T0000054_ch1	1	0	0	0	2012-09-24 14:50:04	0.6	
T0000055_ch1	2	4	0	0	2012-09-24 14:50:18	0.7	
T0000056_ch1	1	0	0	0	2012-09-24 14:50:28	0.6	
T0000057_ch1	5	0	0	0	2012-09-24 14:50:34	0.6	
T0000058_ch1	6	3	0	0	2012-09-24 14:50:36	0.7	
T0000059_ch1	4	0	0	0	2012-09-24 14:50:40	0.6	
T0000060_ch1	4	0	0	0	2012-09-24 14:50:44	0.8	
T0000061_ch1	1	3	0	0	2012-09-24 14:51:02	0.6	
T0000062_ch1	5	0	0	0	2012-09-24 14:51:15	1.1	
T0000063_ch1	4	2	0	0	2012-09-24 14:51:16	0.6	
T0000064_ch1	1	1	0	0	2012-09-24 14:51:17	0.6	
T0000065_ch1	5	0	0	0	2012-09-24 14:51:20	0.6	
T0000066_ch1	3	1	0	0	2012-09-24 14:51:21	0.6	
T0000067_ch1	3	2	0	0	2012-09-24 14:51:25	0.6	
T0000068_ch1	5	1	0	0	2012-09-24 14:51:27	0.6	
T0000069_ch1	2	3	0	0	2012-09-24 14:51:33	0.6	
T0000070_ch1	4	0	1	0	2012-09-24 14:51:34	0.6	
T0000071_ch1	3	3	1	0	2012-09-24 14:51:37	0.8	
T0000072_ch1	0	4	0	0	2012-09-24 14:51:40	1.1	
T0000073_ch1	2	2	0	1	2012-09-24 14:51:42	0.9	
T0000074_ch1	5	4	2	0	2012-09-24 14:51:47	1.2	
T0000075_ch1	5	0	0	0	2012-09-24 14:51:51	0.6	
T0000076_ch1	8	3	0	0	2012-09-24 14:51:54	0.9	
T0000077_ch1	2	3	0	0	2012-09-24 14:51:56	0.8	
T0000078_ch1	5	0	0	0	2012-09-24 14:51:58	0.6	
T0000079_ch1	6	1	0	0	2012-09-24 14:52:03	0.6	
T0000080_ch1	3	2	1	0	2012-09-24 14:52:07	1.0	
T0000081_ch1	4	3	0	0	2012-09-24 14:52:08	0.9	
T0000082_ch1	2	3	1	0	2012-09-24 14:52:16	1.0	
T0000083_ch1	7	2	0	0	2012-09-24 14:52:22	0.6	
T0000084_ch1	1	2	0	0	2012-09-24 14:52:30	0.6	
T0000085_ch1	3	1	0	0	2012-09-24 14:52:38	0.6	
T0000086_ch1	4	1	0	0	2012-09-24 14:52:38	0.6	
T0000087_ch1	3	1	1	0	2012-09-24 14:52:39	1.0	
T0000088_ch1	10	1	1	0	2012-09-24 14:52:40	1.0	
T0000089_ch1	3	0	0	0	2012-09-24 14:52:42	0.6	
T0000090_ch1	4	0	0	1	2012-09-24 14:52:44	0.6	
T0000091_ch1	6	0	0	0	2012-09-24 14:52:45	0.6	
T0000092_ch1	3	2	0	0	2012-09-24 14:52:47	0.6	
T0000093_ch1	3	1	0	1	2012-09-24 14:52:47	0.6	
T0000094_ch1	2	0	2	0	2012-09-24 14:52:48	0.7	
T0000095_ch1	3	0	0	0	2012-09-24 14:52:49	0.6	
T0000096_ch1	2	4	0	0	2012-09-24 14:52:50	0.6	
T0000097_ch1	4	0	0	0	2012-09-24 14:52:52	0.6	
T0000098_ch1	8	1	0	1	2012-09-24 14:52:54	1.1	
T0000099_ch1	2	0	0	1	2012-09-24 14:52:56	0.6	
T0000100_ch1	3	0	0	0	2012-09-24 14:52:57	0.6	
T0000101_ch1	2	1	1	0	2012-09-24 14:52:59	0.7	
T0000102_ch1	1	5	0	1	2012-09-24 14:53:02	0.6	
T0000103_ch1	4	1	1	0	2012-09-24 14:53:08	0.6	
T0000104_ch1	3	1	1	0	2012-09-24 14:53:09	0.6	
T0000105_ch1	6	1	0	0	2012-09-24 14:53:12	0.8	
T0000106_ch1	4	4	0	0	2012-09-24 14:53:16	0.6	
T0000107_ch1	2	3	1	0	2012-09-24 14:53:16	0.6	
T0000108_ch1	3	3	1	0	2012-09-24 14:53:17	0.6	
T0000109_ch1	2	2	0	0	2012-09-24 14:53:18	0.6	
T0000110_ch1	3	0	0	0	2012-09-24 14:53:20	0.6	
T0000111_ch1	5	0	0	0	2012-09-24 14:53:22	0.9	
T0000112_ch1	5	1	1	1	2012-09-24 14:53:29	0.8	
T0000113_ch1	6	0	2	0	2012-09-24 14:53:36	0.6	
T0000114_ch1	4	1	0	0	2012-09-24 14:53:39	0.7	
T0000115_ch1	1	1	1	0	2012-09-24 14:53:41	0.6	
T0000116_ch1	1	4	2	0	2012-09-24 14:53:42	0.8	
T0000117_ch1	6	1	0	0	2012-09-24 14:53:43	0.6	
T0000118_ch1	6	2	0	0	2012-09-24 14:53:46	0.6	
T0000119_ch1	3	2	0	0	2012-09-24 14:53:51	0.6	
T0000120_ch1	6	0	0	0	2012-09-24 14:53:53	0.6	
T0000121_ch1	3	3	0	0	2012-09-24 14:53:54	0.6	
T0000122_ch1	4	3	0	0	2012-09-24 14:53:56	0.9	
T0000123_ch1	2	0	0	0	2012-09-24 14:53:58	0.6	
T0000124_ch1	5	1	0	0	2012-09-24 14:54:05	0.6	
T0000125_ch1	7	1	1	0	2012-09-24 14:54:09	1.0	
T0000126_ch1	1	3	1	0	2012-09-24 14:54:11	1.0	
T0000127_ch1	5	1	0	0	2012-09-24 14:54:15	0.6	
T0000128_ch1	2	2	0	0	2012-09-24 14:54:16	0.6	
T0000129_ch1	7	0	0	0	2012-09-24 14:54:18	1.1	
T0000130_ch1	3	0	0	0	2012-09-24 14:54:26	0.6	
T0000131_ch1	1	0	0	0	2012-09-24 14:54:28	0.6	
T0000132_ch1	5	1	0	0	2012-09-24 14:54:30	0.6	
T0000133_ch1	1	2	1	0	2012-09-24 14:54:31	0.6	
T0000134_ch1	4	2	1	0	2012-09-24 14:54:32	0.6	
T0000135_ch1	6	1	0	0	2012-09-24 14:54:32	0.6	
T0000136_ch1	6	4	0	0	2012-09-24 14:54:34	1.0	
T0000137_ch1	1	0	0	1	2012-09-24 14:54:44	0.6	
T0000138_ch1	3	3	0	0	2012-09-24 14:54:50	1.0	
T0000139_ch1	7	1	0	0	2012-09-24 14:54:54	0.6	
T0000140_ch1	4	2	1	0	2012-09-24 14:54:55	0.6	
T0000141_ch1	2	0	1	0	2012-09-24 14:54:57	0.6	
T0000142_ch1	8	0	0	0	2012-09-24 14:55:01	0.6	
T0000143_ch1	6	1	0	0	2012-09-24 14:55:03	0.7	
T0000144_ch1	2	3	0	0	2012-09-24 14:55:12	0.6	
T0000145_ch1	5	3	3	0	2012-09-24 14:55:16	1.0	
T0000146_ch1	4	1	0	0	2012-09-24 14:55:18	0.9	
T0000147_ch1	1	1	0	0	2012-09-24 14:55:20	0.7	
T0000148_ch1	4	2	0	0	2012-09-24 14:55:23	0.6	
T0000149_ch1	10	2	1	0	2012-09-24 14:55:26	1.1	
T0000150_ch1	3	0	0	0	2012-09-24 14:55:28	0.6	
T0000151_ch1	3	0	0	0	2012-09-24 14:55:43	0.6	
T0000152_ch1	1	0	0	1	2012-09-24 14:55:47	0.6	
T0000153_ch1	1	0	0	0	2012-09-24 14:55:48	0.6	
T0000154_ch1	3	0	0	0	2012-09-24 14:55:51	0.7	
T0000155_ch1	3	1	1	0	2012-09-24 14:56:07	0.7	
T0000156_ch1	2	2	0	0	2012-09-24 14:56:15	0.6	
T0000157_ch1	4	2	1	0	2012-09-24 14:56:17	0.6	
T0000158_ch1	2	0	0	0	2012-09-24 14:56:20	0.6	
T0000159_ch1	6	2	0	0	2012-09-24 14:56:22	0.6	
T0000160_ch1	6	1	0	0	2012-09-24 14:56:29	0.6	
T0000161_ch1	5	3	0	0	2012-09-24 14:56:36	1.0	
T0000162_ch1	2	4	0	1	2012-09-24 14:56:41	0.6	
T0000163_ch1	3	4	0	0	2012-09-24 14:56:43	0.6	
T0000164_ch1	3	1	0	0	2012-09-24 14:56:47	0.6	
T0000165_ch1	1	0	0	0	2012-09-24 14:56:48	0.6	
T0000166_ch1	5	2	1	0	2012-09-24 14:56:57	0.8	
T0000167_ch1	1	3	0	0	2012-09-24 14:56:59	0.6	
T0000168_ch1	4	2	1	0	2012-09-24 14:57:00	0.9	
T0000169_ch1	5	1	0	0	2012-09-24 14:57:02	0.6	
T0000170_ch1	7	3	0	0	2012-09-24 14:57:08	1.2	
T0000171_ch1	7	0	0	1	2012-09-24 14:57:10	0.6	
T0000172_ch1	1	1	1	0	2012-09-24 14:57:24	0.6	
