# data = data_ch1.tab
# channel = 1
# sample_rate = 11025
# classifier = SVM
FILE	BGNOISE	FM	HFM	SV	start: 2012-09-17 15:21:58	Duration	
T0000089_ch1	2	0	0	0	2012-09-17 15:26:37	0.6	
T0000090_ch1	4	1	0	3	2012-09-17 15:26:42	1.7	
T0000091_ch1	1	1	0	3	2012-09-17 15:26:46	1.2	
T0000092_ch1	4	1	1	1	2012-09-17 15:26:49	1.0	
T0000093_ch1	5	2	0	0	2012-09-17 15:26:50	0.6	
T0000094_ch1	4	2	0	0	2012-09-17 15:26:58	0.6	
T0000095_ch1	0	1	0	2	2012-09-17 15:27:00	1.0	
T0000096_ch1	5	1	0	1	2012-09-17 15:27:02	0.7	
T0000097_ch1	3	4	0	1	2012-09-17 15:27:03	1.1	
T0000098_ch1	4	2	1	3	2012-09-17 15:27:06	1.5	
T0000099_ch1	3	1	1	0	2012-09-17 15:27:08	0.6	
T0000100_ch1	2	0	0	0	2012-09-17 15:27:09	0.6	
T0000101_ch1	3	0	2	2	2012-09-17 15:27:19	1.5	
T0000102_ch1	6	0	0	0	2012-09-17 15:27:24	0.6	
T0000103_ch1	2	0	0	0	2012-09-17 15:27:27	0.6	
T0000104_ch1	4	1	0	4	2012-09-17 15:27:29	1.9	
T0000105_ch1	6	0	0	6	2012-09-17 15:27:34	1.7	
T0000106_ch1	2	2	1	2	2012-09-17 15:27:39	1.5	
T0000107_ch1	3	2	0	2	2012-09-17 15:27:42	0.9	
T0000108_ch1	2	1	0	6	2012-09-17 15:27:47	2.4	
T0000109_ch1	3	2	0	3	2012-09-17 15:27:50	1.5	
T0000110_ch1	1	2	0	1	2012-09-17 15:27:55	0.7	
T0000111_ch1	0	3	1	0	2012-09-17 15:27:58	0.6	
T0000112_ch1	5	6	1	0	2012-09-17 15:28:04	1.6	
T0000113_ch1	6	1	0	4	2012-09-17 15:28:06	1.9	
T0000114_ch1	2	0	1	3	2012-09-17 15:28:14	1.6	
T0000115_ch1	3	1	0	2	2012-09-17 15:28:20	1.2	
T0000116_ch1	2	2	1	1	2012-09-17 15:28:23	1.1	
T0000117_ch1	5	1	0	2	2012-09-17 15:28:24	1.3	
T0000118_ch1	1	1	2	0	2012-09-17 15:28:34	0.8	
T0000119_ch1	5	1	0	2	2012-09-17 15:28:35	1.1	
T0000120_ch1	3	1	0	1	2012-09-17 15:28:37	0.8	
T0000121_ch1	5	2	0	1	2012-09-17 15:28:39	1.0	
T0000122_ch1	3	0	0	1	2012-09-17 15:28:42	0.7	
