# data = data_ch1.tab
# channel = 1
# sample_rate = 11025
# classifier = SVM
FILE	BGNOISE	FM	HFM	SV	start: 2012-09-14 16:27:13	Duration	
T0000000_ch1	5	1	1	1	2012-09-14 15:55:41	0.8	
T0000001_ch1	7	1	1	5	2012-09-14 15:55:44	2.2	
T0000002_ch1	1	3	0	5	2012-09-14 15:55:47	1.8	
T0000003_ch1	6	2	0	0	2012-09-14 15:55:49	0.6	
T0000004_ch1	1	3	0	4	2012-09-14 15:55:50	1.4	
T0000005_ch1	4	2	2	2	2012-09-14 15:55:52	1.5	
T0000006_ch1	5	0	0	0	2012-09-14 15:56:01	0.6	
T0000007_ch1	6	3	0	5	2012-09-14 15:56:11	2.0	
T0000008_ch1	7	0	2	0	2012-09-14 15:56:16	0.6	
T0000009_ch1	5	0	3	3	2012-09-14 15:56:17	1.0	
T0000010_ch1	1	2	1	0	2012-09-14 15:56:22	0.6	
T0000011_ch1	3	0	0	2	2012-09-14 15:56:23	1.8	
T0000012_ch1	5	1	1	0	2012-09-14 15:56:28	1.1	
T0000013_ch1	3	2	0	6	2012-09-14 15:56:31	1.9	
T0000014_ch1	8	1	0	0	2012-09-14 15:56:33	0.6	
T0000015_ch1	5	0	0	0	2012-09-14 15:56:34	0.7	
T0000016_ch1	7	2	1	0	2012-09-14 15:56:38	0.8	
T0000017_ch1	1	2	0	2	2012-09-14 15:56:42	1.0	
T0000018_ch1	5	0	0	2	2012-09-14 15:56:43	1.4	
T0000019_ch1	8	0	1	0	2012-09-14 15:56:44	0.6	
T0000020_ch1	4	0	1	3	2012-09-14 15:56:45	1.3	
T0000021_ch1	3	2	0	1	2012-09-14 15:56:47	0.9	
T0000022_ch1	2	1	0	2	2012-09-14 15:56:52	1.2	
T0000023_ch1	3	3	0	0	2012-09-14 15:56:54	0.6	
T0000024_ch1	4	1	1	3	2012-09-14 15:56:55	1.2	
T0000025_ch1	2	0	1	4	2012-09-14 15:56:57	1.6	
T0000026_ch1	3	1	0	3	2012-09-14 15:57:00	1.3	
T0000027_ch1	6	0	0	0	2012-09-14 15:57:03	0.7	
T0000028_ch1	3	1	1	0	2012-09-14 15:57:04	0.6	
T0000029_ch1	2	2	1	0	2012-09-14 15:57:05	0.8	
T0000030_ch1	7	2	0	0	2012-09-14 15:57:06	0.8	
T0000031_ch1	4	3	0	0	2012-09-14 15:57:08	0.6	
T0000032_ch1	5	2	0	3	2012-09-14 15:57:10	2.5	
T0000033_ch1	2	1	0	0	2012-09-14 15:57:16	0.6	
T0000034_ch1	3	0	0	0	2012-09-14 15:57:19	0.6	
T0000035_ch1	5	0	1	0	2012-09-14 15:57:21	0.6	
T0000036_ch1	3	1	0	0	2012-09-14 15:57:23	0.6	
T0000037_ch1	0	3	0	0	2012-09-14 15:57:24	0.6	
T0000038_ch1	3	1	0	0	2012-09-14 15:57:26	0.6	
T0000039_ch1	4	0	0	0	2012-09-14 15:57:30	0.6	
T0000040_ch1	1	1	0	0	2012-09-14 15:57:32	0.6	
T0000041_ch1	1	2	0	3	2012-09-14 15:57:35	1.1	
T0000042_ch1	1	0	0	2	2012-09-14 15:57:40	0.6	
T0000043_ch1	8	4	2	4	2012-09-14 15:57:51	2.1	
T0000044_ch1	3	2	2	0	2012-09-14 15:57:56	1.0	
T0000045_ch1	3	0	0	0	2012-09-14 15:57:58	0.8	
T0000046_ch1	6	0	0	2	2012-09-14 15:57:59	1.4	
T0000047_ch1	3	1	0	3	2012-09-14 15:58:00	1.2	
T0000048_ch1	1	1	1	0	2012-09-14 15:58:02	1.0	
T0000049_ch1	0	5	0	0	2012-09-14 15:58:03	1.1	
T0000050_ch1	5	1	0	2	2012-09-14 15:58:04	1.7	
T0000051_ch1	1	4	0	0	2012-09-14 15:58:08	0.7	
T0000052_ch1	2	1	1	2	2012-09-14 15:58:10	1.0	
T0000053_ch1	3	1	2	4	2012-09-14 15:58:14	1.7	
T0000054_ch1	4	1	2	0	2012-09-14 15:58:16	0.6	
T0000055_ch1	5	1	0	0	2012-09-14 15:58:19	0.8	
T0000056_ch1	1	2	0	0	2012-09-14 15:58:21	0.6	
T0000057_ch1	3	3	2	1	2012-09-14 15:58:24	1.4	
T0000058_ch1	4	2	0	4	2012-09-14 15:58:26	1.5	
T0000059_ch1	8	3	1	2	2012-09-14 15:58:32	2.5	
T0000060_ch1	4	0	1	1	2012-09-14 15:58:35	0.6	
T0000061_ch1	3	1	4	0	2012-09-14 15:58:37	1.2	
T0000062_ch1	5	0	0	1	2012-09-14 15:58:39	0.7	
T0000063_ch1	1	1	0	3	2012-09-14 15:58:42	1.4	
T0000064_ch1	5	0	0	3	2012-09-14 15:58:45	1.3	
T0000065_ch1	2	1	0	0	2012-09-14 15:58:47	0.6	
T0000066_ch1	3	2	2	0	2012-09-14 15:58:49	0.8	
T0000067_ch1	8	1	0	0	2012-09-14 15:58:51	0.6	
T0000068_ch1	3	1	1	3	2012-09-14 15:58:53	1.5	
T0000069_ch1	1	3	1	0	2012-09-14 15:58:58	0.6	
T0000070_ch1	3	2	0	1	2012-09-14 15:58:59	1.0	
T0000071_ch1	9	2	2	0	2012-09-14 15:59:01	1.3	
T0000072_ch1	4	2	0	0	2012-09-14 15:59:02	0.6	
T0000073_ch1	2	1	2	1	2012-09-14 15:59:04	0.7	
T0000074_ch1	6	0	0	1	2012-09-14 15:59:06	0.7	
T0000075_ch1	3	0	0	0	2012-09-14 15:59:07	0.6	
T0000076_ch1	5	1	0	4	2012-09-14 15:59:08	1.6	
T0000077_ch1	4	1	1	3	2012-09-14 15:59:11	1.5	
T0000078_ch1	6	1	2	0	2012-09-14 15:59:13	0.9	
T0000079_ch1	6	2	0	0	2012-09-14 15:59:18	0.6	
T0000080_ch1	6	0	1	0	2012-09-14 15:59:20	0.7	
T0000081_ch1	3	5	3	0	2012-09-14 15:59:23	1.5	
T0000082_ch1	4	1	4	0	2012-09-14 15:59:25	1.4	
T0000083_ch1	4	0	1	0	2012-09-14 15:59:30	0.6	
T0000084_ch1	2	1	0	2	2012-09-14 15:59:31	1.3	
T0000085_ch1	6	1	1	0	2012-09-14 15:59:36	0.6	
T0000086_ch1	3	1	0	0	2012-09-14 15:59:37	0.6	
T0000087_ch1	5	2	0	0	2012-09-14 15:59:39	0.6	
T0000088_ch1	3	1	2	0	2012-09-14 15:59:41	0.7	
T0000089_ch1	0	2	1	0	2012-09-14 15:59:42	0.8	
T0000090_ch1	2	2	0	0	2012-09-14 15:59:44	0.6	
T0000091_ch1	4	2	1	0	2012-09-14 15:59:45	0.6	
T0000092_ch1	3	1	0	1	2012-09-14 15:59:46	1.3	
T0000093_ch1	4	1	1	0	2012-09-14 15:59:48	0.6	
T0000094_ch1	6	1	0	0	2012-09-14 15:59:50	0.7	
T0000095_ch1	2	2	0	0	2012-09-14 15:59:51	0.8	
T0000096_ch1	12	5	0	0	2012-09-14 15:59:52	2.5	
T0000097_ch1	8	2	0	3	2012-09-14 15:59:55	2.2	
T0000098_ch1	2	2	2	0	2012-09-14 15:59:58	1.2	
T0000099_ch1	5	2	0	0	2012-09-14 16:00:01	0.6	
T0000100_ch1	6	1	0	2	2012-09-14 16:00:02	1.4	
T0000101_ch1	4	1	1	1	2012-09-14 16:00:05	1.5	
T0000102_ch1	8	0	1	0	2012-09-14 16:00:08	1.0	
T0000103_ch1	5	3	0	0	2012-09-14 16:00:11	1.0	
T0000104_ch1	5	3	1	0	2012-09-14 16:00:13	0.9	
T0000105_ch1	3	2	4	0	2012-09-14 16:00:15	1.1	
T0000106_ch1	2	1	0	0	2012-09-14 16:00:17	0.6	
T0000107_ch1	3	0	0	2	2012-09-14 16:00:18	1.3	
T0000108_ch1	4	0	0	0	2012-09-14 16:00:21	0.8	
T0000109_ch1	4	0	0	0	2012-09-14 16:00:23	0.8	
T0000110_ch1	6	2	3	0	2012-09-14 16:00:26	1.4	
T0000111_ch1	11	5	1	3	2012-09-14 16:00:28	2.3	
T0000112_ch1	2	1	1	0	2012-09-14 16:00:31	0.7	
T0000113_ch1	3	2	1	0	2012-09-14 16:00:34	0.6	
T0000114_ch1	10	3	1	3	2012-09-14 16:00:36	2.6	
T0000115_ch1	3	3	2	1	2012-09-14 16:00:39	1.3	
T0000116_ch1	4	1	0	0	2012-09-14 16:00:41	0.6	
T0000117_ch1	10	3	1	2	2012-09-14 16:00:43	2.6	
T0000118_ch1	3	1	0	2	2012-09-14 16:00:50	1.5	
T0000119_ch1	5	5	0	1	2012-09-14 16:01:04	1.5	
T0000120_ch1	2	1	2	1	2012-09-14 16:01:09	1.2	
T0000121_ch1	2	2	0	0	2012-09-14 16:01:12	0.6	
T0000122_ch1	4	1	2	1	2012-09-14 16:01:15	0.6	
T0000123_ch1	5	0	0	0	2012-09-14 16:01:18	0.6	
T0000124_ch1	5	4	2	0	2012-09-14 16:01:19	1.0	
T0000125_ch1	0	3	1	0	2012-09-14 16:01:21	1.4	
T0000126_ch1	6	0	0	2	2012-09-14 16:01:25	1.0	
T0000127_ch1	3	2	0	0	2012-09-14 16:01:27	0.6	
T0000128_ch1	3	2	1	0	2012-09-14 16:01:28	0.7	
T0000129_ch1	5	1	0	2	2012-09-14 16:01:29	1.8	
