# data = data_ch1.tab
# channel = 1
# sample_rate = 11025
# classifier = SVM
FILE	BGNOISE	FM	HFM	SV	start: 2012-10-05 15:27:32	Duration	
T0000000_ch1	7	0	0	0	2012-10-05 15:27:34	1.1	
T0000001_ch1	1	3	1	0	2012-10-05 15:27:37	0.6	
T0000002_ch1	0	0	1	0	2012-10-05 15:27:38	0.7	
T0000003_ch1	3	3	0	0	2012-10-05 15:27:41	0.9	
T0000004_ch1	3	4	1	0	2012-10-05 15:27:42	1.1	
T0000005_ch1	7	1	0	3	2012-10-05 15:27:45	1.2	
T0000006_ch1	1	1	0	0	2012-10-05 15:27:47	0.6	
T0000007_ch1	2	4	0	1	2012-10-05 15:27:48	1.3	
T0000008_ch1	3	3	2	0	2012-10-05 15:27:52	0.8	
T0000009_ch1	1	0	1	0	2012-10-05 15:28:01	0.6	
T0000010_ch1	3	1	0	0	2012-10-05 15:28:03	0.6	
T0000011_ch1	2	1	0	0	2012-10-05 15:28:06	0.7	
T0000012_ch1	2	1	0	0	2012-10-05 15:28:11	0.6	
T0000013_ch1	0	7	1	0	2012-10-05 15:28:14	1.0	
T0000014_ch1	0	0	0	3	2012-10-05 15:28:19	1.1	
T0000015_ch1	1	0	0	0	2012-10-05 15:28:24	0.6	
T0000016_ch1	4	0	0	0	2012-10-05 15:28:35	0.6	
T0000017_ch1	2	4	0	0	2012-10-05 15:28:45	0.7	
T0000018_ch1	2	1	0	0	2012-10-05 15:28:58	0.6	
T0000019_ch1	5	6	1	0	2012-10-05 15:29:00	1.1	
T0000020_ch1	3	4	1	0	2012-10-05 15:29:03	0.6	
T0000021_ch1	0	3	0	1	2012-10-05 15:29:19	0.7	
T0000022_ch1	1	2	1	0	2012-10-05 15:29:34	0.6	
T0000023_ch1	1	1	1	0	2012-10-05 15:29:37	0.6	
T0000024_ch1	2	1	0	0	2012-10-05 15:29:46	0.6	
T0000025_ch1	2	3	0	0	2012-10-05 15:29:49	0.9	
T0000026_ch1	1	0	0	1	2012-10-05 15:30:01	1.0	
T0000027_ch1	5	2	1	0	2012-10-05 15:30:03	0.6	
T0000028_ch1	4	2	2	0	2012-10-05 15:30:14	0.6	
T0000029_ch1	2	1	0	4	2012-10-05 15:30:24	1.5	
T0000030_ch1	0	1	0	5	2012-10-05 15:30:34	1.5	
T0000031_ch1	3	1	1	0	2012-10-05 15:30:41	0.6	
T0000032_ch1	2	0	1	0	2012-10-05 15:30:56	0.6	
T0000033_ch1	2	1	1	0	2012-10-05 15:31:04	0.6	
T0000034_ch1	3	3	1	1	2012-10-05 15:31:07	0.6	
T0000035_ch1	0	1	0	7	2012-10-05 15:31:11	1.6	
T0000036_ch1	2	3	0	0	2012-10-05 15:31:45	0.6	
T0000037_ch1	1	0	0	0	2012-10-05 15:31:47	0.6	
T0000038_ch1	1	1	0	0	2012-10-05 15:32:05	0.6	
T0000039_ch1	1	0	0	4	2012-10-05 15:32:10	1.7	
T0000040_ch1	0	4	0	0	2012-10-05 15:32:15	0.6	
T0000041_ch1	6	3	4	0	2012-10-05 15:32:20	1.4	
T0000042_ch1	1	2	0	3	2012-10-05 15:32:23	1.5	
T0000043_ch1	5	1	2	0	2012-10-05 15:32:31	0.6	
T0000044_ch1	3	2	1	0	2012-10-05 15:32:36	0.6	
T0000045_ch1	1	0	0	0	2012-10-05 15:32:39	0.7	
T0000046_ch1	5	1	1	0	2012-10-05 15:32:55	0.6	
T0000047_ch1	2	3	0	0	2012-10-05 15:32:57	0.6	
T0000048_ch1	4	0	1	0	2012-10-05 15:33:04	0.6	
T0000049_ch1	8	0	0	0	2012-10-05 15:33:08	1.1	
T0000050_ch1	2	0	0	0	2012-10-05 15:33:11	0.6	
T0000051_ch1	4	0	0	0	2012-10-05 15:33:13	0.6	
T0000052_ch1	5	0	0	0	2012-10-05 15:33:13	0.6	
T0000053_ch1	1	0	0	0	2012-10-05 15:33:16	0.6	
T0000054_ch1	4	1	0	0	2012-10-05 15:33:20	0.6	
T0000055_ch1	5	2	2	1	2012-10-05 15:33:22	1.0	
T0000056_ch1	6	0	0	0	2012-10-05 15:33:29	0.7	
T0000057_ch1	1	1	1	0	2012-10-05 15:33:38	0.6	
T0000058_ch1	5	0	0	4	2012-10-05 15:33:40	1.4	
T0000059_ch1	5	2	0	0	2012-10-05 15:33:45	1.1	
T0000060_ch1	3	5	2	0	2012-10-05 15:33:53	0.9	
T0000061_ch1	4	2	0	1	2012-10-05 15:34:13	0.9	
T0000062_ch1	6	0	0	0	2012-10-05 15:34:21	0.6	
T0000063_ch1	7	0	0	0	2012-10-05 15:34:22	0.6	
T0000064_ch1	2	2	1	3	2012-10-05 15:34:43	1.0	
T0000065_ch1	2	0	0	0	2012-10-05 15:34:55	0.6	
T0000066_ch1	2	3	5	0	2012-10-05 15:34:56	1.1	
T0000067_ch1	3	7	1	0	2012-10-05 15:35:14	1.1	
