# data = data_ch1.tab
# channel = 1
# sample_rate = 11025
# classifier = SVM
FILE	BGNOISE	FM	HFM	SV	start: 2012-10-01 14:36:56	Duration	
T0000000_ch1	1	0	1	2	2012-10-01 14:36:57	1.1	
T0000001_ch1	1	2	1	0	2012-10-01 14:37:00	0.6	
T0000002_ch1	0	2	1	5	2012-10-01 14:37:01	1.5	
T0000003_ch1	4	3	0	0	2012-10-01 14:37:06	0.6	
T0000004_ch1	0	1	0	5	2012-10-01 14:37:08	1.3	
T0000005_ch1	3	1	2	2	2012-10-01 14:37:14	1.0	
T0000006_ch1	0	1	0	5	2012-10-01 14:37:16	1.7	
T0000007_ch1	6	1	0	1	2012-10-01 14:37:24	0.6	
T0000008_ch1	0	0	1	5	2012-10-01 14:37:25	1.6	
T0000009_ch1	0	3	0	1	2012-10-01 14:37:40	0.6	
T0000010_ch1	0	0	0	5	2012-10-01 14:37:44	1.4	
T0000011_ch1	8	0	0	0	2012-10-01 14:37:50	0.6	
T0000012_ch1	3	1	0	0	2012-10-01 14:37:52	0.6	
T0000013_ch1	5	4	0	0	2012-10-01 14:37:53	0.6	
T0000014_ch1	4	1	0	2	2012-10-01 14:37:54	1.1	
T0000015_ch1	2	4	0	0	2012-10-01 14:38:00	0.6	
T0000016_ch1	2	3	0	3	2012-10-01 14:38:02	1.1	
T0000017_ch1	8	1	0	4	2012-10-01 14:38:06	1.3	
T0000018_ch1	3	2	0	1	2012-10-01 14:38:08	1.4	
T0000019_ch1	5	0	1	0	2012-10-01 14:38:18	0.6	
T0000020_ch1	7	5	1	0	2012-10-01 14:38:20	1.2	
T0000021_ch1	0	0	0	3	2012-10-01 14:38:23	1.2	
T0000022_ch1	5	3	0	0	2012-10-01 14:38:30	0.6	
T0000023_ch1	6	1	0	0	2012-10-01 14:38:35	0.6	
T0000024_ch1	3	2	1	4	2012-10-01 14:38:39	1.3	
T0000025_ch1	2	5	0	0	2012-10-01 14:38:46	0.8	
T0000026_ch1	0	0	1	4	2012-10-01 14:38:53	1.5	
T0000027_ch1	5	1	0	0	2012-10-01 14:39:05	0.6	
T0000028_ch1	1	4	1	4	2012-10-01 14:39:09	1.7	
T0000029_ch1	1	0	0	1	2012-10-01 14:39:21	0.6	
T0000030_ch1	2	4	0	4	2012-10-01 14:39:27	1.5	
T0000031_ch1	8	0	0	0	2012-10-01 14:39:32	0.6	
T0000032_ch1	2	3	0	0	2012-10-01 14:39:37	0.7	
T0000033_ch1	0	1	0	2	2012-10-01 14:39:55	0.8	
T0000034_ch1	1	2	0	4	2012-10-01 14:39:59	1.3	
T0000035_ch1	1	0	1	1	2012-10-01 14:40:04	0.7	
T0000036_ch1	4	2	0	1	2012-10-01 14:40:13	1.0	
T0000037_ch1	2	4	1	0	2012-10-01 14:40:26	0.6	
T0000038_ch1	3	0	3	1	2012-10-01 14:40:30	1.0	
T0000039_ch1	2	1	0	0	2012-10-01 14:40:40	0.6	
T0000040_ch1	1	0	0	0	2012-10-01 14:40:42	0.6	
T0000041_ch1	2	3	0	2	2012-10-01 14:40:43	1.0	
T0000042_ch1	2	1	0	1	2012-10-01 14:40:49	0.6	
T0000043_ch1	7	0	0	0	2012-10-01 14:40:52	0.9	
T0000044_ch1	8	0	0	0	2012-10-01 14:40:54	0.6	
T0000045_ch1	7	0	0	0	2012-10-01 14:40:55	0.6	
T0000046_ch1	1	1	0	1	2012-10-01 14:41:10	0.6	
T0000047_ch1	6	3	1	0	2012-10-01 14:41:16	1.0	
T0000048_ch1	4	3	0	0	2012-10-01 14:41:23	0.6	
T0000049_ch1	5	1	0	2	2012-10-01 14:41:29	1.5	
T0000050_ch1	1	3	2	0	2012-10-01 14:41:32	0.6	
T0000051_ch1	7	0	0	4	2012-10-01 14:41:33	1.3	
T0000052_ch1	6	0	0	0	2012-10-01 14:42:21	0.6	
T0000053_ch1	3	0	0	0	2012-10-01 14:42:48	0.6	
T0000054_ch1	7	0	0	0	2012-10-01 14:42:51	0.6	
T0000055_ch1	1	0	0	2	2012-10-01 14:43:10	0.6	
T0000056_ch1	4	0	1	1	2012-10-01 14:43:13	0.6	
T0000057_ch1	4	1	0	3	2012-10-01 14:43:18	1.0	
T0000058_ch1	1	0	0	0	2012-10-01 14:43:22	0.6	
T0000059_ch1	5	0	1	5	2012-10-01 14:43:31	1.2	
T0000060_ch1	0	1	0	6	2012-10-01 14:43:42	1.7	
T0000061_ch1	0	0	0	1	2012-10-01 14:43:51	0.7	
T0000062_ch1	2	2	1	0	2012-10-01 14:43:58	0.7	
T0000063_ch1	2	5	0	0	2012-10-01 14:43:59	0.6	
T0000064_ch1	5	0	0	4	2012-10-01 14:44:04	1.5	
T0000065_ch1	1	3	0	0	2012-10-01 14:44:07	0.6	
T0000066_ch1	1	4	1	0	2012-10-01 14:44:13	0.6	
T0000067_ch1	2	3	1	0	2012-10-01 14:44:19	0.6	
T0000068_ch1	4	2	1	0	2012-10-01 14:44:22	0.8	
T0000069_ch1	2	0	1	0	2012-10-01 14:44:23	0.6	
T0000070_ch1	2	1	0	0	2012-10-01 14:44:36	0.6	
T0000071_ch1	2	4	1	0	2012-10-01 14:44:43	0.6	
T0000072_ch1	5	0	0	0	2012-10-01 14:44:52	0.6	
T0000073_ch1	0	1	0	2	2012-10-01 14:44:55	1.0	
T0000074_ch1	5	1	1	0	2012-10-01 14:44:57	0.6	
T0000075_ch1	0	2	0	0	2012-10-01 14:44:59	0.6	
T0000076_ch1	3	3	1	0	2012-10-01 14:45:01	0.6	
T0000077_ch1	2	0	0	4	2012-10-01 14:45:06	1.6	
T0000078_ch1	3	2	1	0	2012-10-01 14:45:12	0.7	
T0000079_ch1	7	1	0	0	2012-10-01 14:45:15	0.9	
T0000080_ch1	3	1	1	0	2012-10-01 14:45:17	0.6	
T0000081_ch1	4	2	1	0	2012-10-01 14:45:21	0.6	
T0000082_ch1	5	1	0	2	2012-10-01 14:45:32	0.9	
T0000083_ch1	5	1	0	0	2012-10-01 14:45:36	1.5	
T0000084_ch1	2	0	0	0	2012-10-01 14:45:45	0.7	
T0000085_ch1	5	0	0	0	2012-10-01 14:45:46	0.6	
T0000086_ch1	1	0	1	1	2012-10-01 14:45:48	0.6	
T0000087_ch1	8	1	0	0	2012-10-01 14:45:50	1.2	
T0000088_ch1	3	0	1	0	2012-10-01 14:45:51	0.9	
T0000089_ch1	7	0	0	0	2012-10-01 14:46:01	0.6	
T0000090_ch1	0	2	0	0	2012-10-01 14:46:09	0.6	
T0000091_ch1	4	4	0	0	2012-10-01 14:46:12	0.6	
T0000092_ch1	6	0	0	0	2012-10-01 14:46:13	0.6	
T0000093_ch1	4	2	0	2	2012-10-01 14:46:18	1.1	
T0000094_ch1	2	0	0	2	2012-10-01 14:46:21	1.2	
T0000095_ch1	3	2	0	3	2012-10-01 14:46:28	1.5	
T0000096_ch1	6	1	0	0	2012-10-01 14:46:34	0.6	
T0000097_ch1	1	0	0	1	2012-10-01 14:46:35	0.7	
T0000098_ch1	4	3	0	0	2012-10-01 14:46:37	0.6	
T0000099_ch1	3	0	0	0	2012-10-01 14:46:40	0.6	
T0000100_ch1	4	2	0	0	2012-10-01 14:46:49	0.6	
T0000101_ch1	3	1	0	3	2012-10-01 14:46:50	1.1	
T0000102_ch1	2	1	1	0	2012-10-01 14:46:52	0.6	
T0000103_ch1	2	2	0	1	2012-10-01 14:46:55	0.7	
T0000104_ch1	2	0	2	0	2012-10-01 14:47:00	0.6	
T0000105_ch1	3	1	1	0	2012-10-01 14:47:09	0.8	
T0000106_ch1	1	1	0	0	2012-10-01 14:47:15	0.6	
T0000107_ch1	0	3	1	0	2012-10-01 14:47:22	0.7	
T0000108_ch1	2	1	0	1	2012-10-01 14:47:23	1.0	
T0000109_ch1	2	1	1	0	2012-10-01 14:47:29	0.7	
T0000110_ch1	2	3	0	0	2012-10-01 14:47:32	0.6	
T0000111_ch1	2	0	0	0	2012-10-01 14:47:32	0.6	
T0000112_ch1	3	3	0	0	2012-10-01 14:47:36	0.6	
T0000113_ch1	2	1	1	3	2012-10-01 14:47:44	1.3	
T0000114_ch1	5	1	0	0	2012-10-01 14:47:48	0.6	
T0000115_ch1	2	2	0	0	2012-10-01 14:47:51	0.6	
T0000116_ch1	0	1	0	4	2012-10-01 14:47:54	1.3	
T0000117_ch1	3	2	0	0	2012-10-01 14:47:56	0.8	
T0000118_ch1	4	0	0	0	2012-10-01 14:47:59	0.6	
T0000119_ch1	9	0	0	0	2012-10-01 14:48:01	0.8	
T0000120_ch1	1	6	0	0	2012-10-01 14:48:02	0.6	
T0000121_ch1	7	0	0	4	2012-10-01 14:48:03	1.4	
T0000122_ch1	2	2	0	0	2012-10-01 14:48:05	0.6	
T0000123_ch1	2	0	1	0	2012-10-01 14:48:09	0.6	
T0000124_ch1	5	0	1	0	2012-10-01 14:48:09	0.6	
T0000125_ch1	1	2	1	0	2012-10-01 14:48:13	2.1	
T0000126_ch1	3	1	0	0	2012-10-01 14:48:21	1.0	
T0000127_ch1	3	1	0	0	2012-10-01 14:48:23	0.6	
T0000128_ch1	5	0	0	0	2012-10-01 14:48:25	0.6	
T0000129_ch1	1	2	0	0	2012-10-01 14:48:27	0.7	
T0000130_ch1	3	0	0	1	2012-10-01 14:48:28	0.6	
