# data = data_ch1.tab
# channel = 1
# sample_rate = 11025
# classifier = SVM
FILE	BGNOISE	FM	HFM	SV	start: 2012-09-28 16:43:35	Duration	
T0000089_ch1	3	0	0	0	2012-09-28 17:12:13	0.8	
T0000090_ch1	2	0	0	0	2012-09-28 17:12:19	0.6	
T0000091_ch1	4	0	0	0	2012-09-28 17:12:20	0.6	
T0000092_ch1	4	0	1	0	2012-09-28 17:12:22	0.6	
T0000093_ch1	2	0	0	0	2012-09-28 17:12:27	0.7	
T0000094_ch1	1	0	0	0	2012-09-28 17:12:28	0.6	
T0000095_ch1	2	0	0	0	2012-09-28 17:12:29	0.6	
T0000096_ch1	2	0	0	0	2012-09-28 17:12:30	0.6	
T0000097_ch1	2	0	0	0	2012-09-28 17:12:43	0.6	
T0000098_ch1	2	0	0	0	2012-09-28 17:12:57	0.6	
T0000099_ch1	4	0	0	0	2012-09-28 17:13:00	0.6	
T0000100_ch1	5	0	0	0	2012-09-28 17:13:12	1.0	
TOTAL		25	14	97	end: 2012-09-28 17:13:35	
P		0.1838	0.1029	0.7132	
