# data = data_ch1.tab
# channel = 1
# sample_rate = 11025
# classifier = SVM
FILE	BGNOISE	FM	HFM	SV	start: 2012-09-21 15:49:53	Duration	
T0000089_ch1	0	1	0	2	2012-09-21 15:57:05	0.9	
T0000090_ch1	0	2	0	3	2012-09-21 15:57:09	1.4	
T0000091_ch1	2	1	1	1	2012-09-21 15:57:13	0.6	
T0000092_ch1	1	2	1	2	2012-09-21 15:57:28	0.7	
T0000093_ch1	1	1	0	0	2012-09-21 15:57:32	0.6	
T0000094_ch1	3	1	1	0	2012-09-21 15:57:35	0.6	
T0000095_ch1	1	1	1	2	2012-09-21 15:57:38	0.9	
T0000096_ch1	6	1	0	0	2012-09-21 15:57:49	3.8	
T0000097_ch1	11	2	1	1	2012-09-21 15:57:53	3.8	
T0000098_ch1	3	1	1	0	2012-09-21 15:58:23	0.6	
T0000099_ch1	1	2	0	1	2012-09-21 15:58:59	0.8	
T0000100_ch1	6	1	0	0	2012-09-21 15:59:16	2.3	
T0000101_ch1	1	0	0	1	2012-09-21 15:59:44	0.6	
T0000102_ch1	0	4	1	0	2012-09-21 15:59:48	0.6	
T0000103_ch1	4	0	0	0	2012-09-21 16:00:10	0.6	
T0000104_ch1	6	0	0	0	2012-09-21 16:00:23	2.4	
T0000105_ch1	5	2	1	0	2012-09-21 16:00:25	2.1	
T0000106_ch1	4	0	0	0	2012-09-21 16:00:42	1.0	
T0000107_ch1	1	0	0	0	2012-09-21 16:00:46	0.6	
T0000108_ch1	1	0	0	0	2012-09-21 16:00:49	0.6	
T0000109_ch1	3	3	1	1	2012-09-21 16:01:09	1.1	
T0000110_ch1	3	3	0	0	2012-09-21 16:01:16	0.6	
T0000111_ch1	4	1	0	0	2012-09-21 16:01:17	0.6	
T0000112_ch1	3	2	0	0	2012-09-21 16:01:23	0.6	
T0000113_ch1	0	1	1	0	2012-09-21 16:01:26	0.6	
T0000114_ch1	2	0	0	2	2012-09-21 16:01:28	1.0	
T0000115_ch1	0	1	1	0	2012-09-21 16:01:32	0.6	
T0000116_ch1	2	3	0	1	2012-09-21 16:01:36	0.9	
T0000117_ch1	0	1	0	4	2012-09-21 16:01:40	1.5	
T0000118_ch1	1	1	0	0	2012-09-21 16:01:43	0.6	
T0000119_ch1	2	0	1	0	2012-09-21 16:01:45	0.6	
T0000120_ch1	2	2	0	0	2012-09-21 16:01:49	0.6	
T0000121_ch1	3	0	0	0	2012-09-21 16:01:50	1.5	
T0000122_ch1	2	0	0	0	2012-09-21 16:01:51	0.8	
T0000123_ch1	4	3	0	0	2012-09-21 16:02:23	0.8	
T0000124_ch1	0	1	0	3	2012-09-21 16:02:27	1.3	
T0000125_ch1	3	2	1	0	2012-09-21 16:02:28	0.6	
T0000126_ch1	1	0	0	0	2012-09-21 16:02:30	0.6	
T0000127_ch1	8	0	2	0	2012-09-21 16:02:32	3.7	
T0000128_ch1	11	5	0	0	2012-09-21 16:02:39	6.9	
T0000129_ch1	4	0	0	0	2012-09-21 16:02:48	1.2	
T0000130_ch1	5	0	1	0	2012-09-21 16:02:51	1.0	
T0000131_ch1	3	0	0	0	2012-09-21 16:03:04	0.6	
T0000132_ch1	1	1	0	0	2012-09-21 16:03:20	0.7	
T0000133_ch1	3	1	0	0	2012-09-21 16:03:24	0.6	
T0000134_ch1	4	0	0	0	2012-09-21 16:03:35	0.9	
T0000135_ch1	2	1	0	1	2012-09-21 16:03:37	0.6	
T0000136_ch1	2	3	0	0	2012-09-21 16:03:42	1.0	
T0000137_ch1	3	0	0	1	2012-09-21 16:03:45	0.6	
