# data = data_ch1.tab
# channel = 1
# sample_rate = 11025
# classifier = SVM
FILE	BGNOISE	FM	HFM	SV	start: 2012-09-28 15:41:45	Duration	
T0000000_ch1	1	0	2	0	2012-09-28 15:41:47	0.6	
T0000001_ch1	3	2	0	0	2012-09-28 15:41:49	0.6	
T0000002_ch1	4	2	0	0	2012-09-28 15:41:49	0.8	
T0000003_ch1	5	4	2	4	2012-09-28 15:41:51	2.1	
T0000004_ch1	3	3	3	0	2012-09-28 15:41:53	2.5	
T0000005_ch1	2	1	1	0	2012-09-28 15:41:56	0.6	
T0000006_ch1	7	1	0	2	2012-09-28 15:42:04	1.3	
T0000007_ch1	6	1	1	5	2012-09-28 15:42:10	2.5	
T0000008_ch1	2	2	0	0	2012-09-28 15:42:14	0.6	
T0000009_ch1	3	3	1	0	2012-09-28 15:42:16	0.6	
T0000010_ch1	7	0	0	0	2012-09-28 15:42:17	0.8	
T0000011_ch1	2	5	1	3	2012-09-28 15:42:19	1.5	
T0000012_ch1	2	1	0	4	2012-09-28 15:42:22	1.7	
T0000013_ch1	3	5	0	0	2012-09-28 15:42:27	0.8	
T0000014_ch1	5	1	1	0	2012-09-28 15:42:29	1.0	
T0000015_ch1	2	2	0	0	2012-09-28 15:42:35	0.6	
T0000016_ch1	2	4	0	0	2012-09-28 15:42:36	0.8	
T0000017_ch1	3	0	0	5	2012-09-28 15:42:37	1.7	
T0000018_ch1	5	0	0	3	2012-09-28 15:42:40	1.5	
T0000019_ch1	1	1	0	4	2012-09-28 15:42:42	1.5	
T0000020_ch1	5	6	2	1	2012-09-28 15:42:46	2.8	
T0000021_ch1	7	2	2	3	2012-09-28 15:42:49	2.2	
T0000022_ch1	1	0	1	0	2012-09-28 15:42:53	0.6	
T0000023_ch1	3	4	0	0	2012-09-28 15:42:55	0.6	
T0000024_ch1	5	1	1	0	2012-09-28 15:42:57	0.9	
T0000025_ch1	3	3	0	0	2012-09-28 15:42:59	0.6	
T0000026_ch1	5	2	0	0	2012-09-28 15:43:01	0.8	
T0000027_ch1	3	0	0	0	2012-09-28 15:43:05	0.6	
T0000028_ch1	3	0	1	0	2012-09-28 15:43:07	0.6	
T0000029_ch1	2	4	1	4	2012-09-28 15:43:09	1.4	
T0000030_ch1	5	0	0	0	2012-09-28 15:43:17	0.9	
T0000031_ch1	9	2	1	0	2012-09-28 15:43:22	1.2	
T0000032_ch1	3	0	1	1	2012-09-28 15:43:26	0.6	
T0000033_ch1	4	1	0	0	2012-09-28 15:43:36	0.6	
T0000034_ch1	8	1	0	0	2012-09-28 15:43:40	0.8	
T0000035_ch1	2	0	0	1	2012-09-28 15:43:43	0.6	
T0000036_ch1	7	1	0	0	2012-09-28 15:43:50	1.4	
T0000037_ch1	6	0	0	0	2012-09-28 15:43:52	0.8	
T0000038_ch1	6	2	2	0	2012-09-28 15:43:57	1.6	
T0000039_ch1	4	1	0	0	2012-09-28 15:43:58	0.6	
T0000040_ch1	4	1	0	0	2012-09-28 15:44:00	0.7	
T0000041_ch1	3	4	0	0	2012-09-28 15:44:01	0.6	
T0000042_ch1	2	1	3	0	2012-09-28 15:44:03	1.5	
T0000043_ch1	4	0	0	1	2012-09-28 15:44:06	0.6	
T0000044_ch1	4	0	1	0	2012-09-28 15:44:07	0.7	
T0000045_ch1	1	2	0	2	2012-09-28 15:44:09	1.0	
T0000046_ch1	2	1	0	0	2012-09-28 15:44:11	0.6	
T0000047_ch1	3	1	1	0	2012-09-28 15:44:12	0.8	
T0000048_ch1	14	4	0	0	2012-09-28 15:44:15	2.1	
T0000049_ch1	3	1	0	0	2012-09-28 15:44:18	0.6	
T0000050_ch1	5	1	0	0	2012-09-28 15:44:20	0.6	
T0000051_ch1	7	4	2	2	2012-09-28 15:44:21	2.7	
T0000052_ch1	5	1	0	0	2012-09-28 15:44:24	0.7	
T0000053_ch1	6	2	1	0	2012-09-28 15:44:27	2.8	
T0000054_ch1	5	1	0	0	2012-09-28 15:44:31	0.6	
T0000055_ch1	4	1	0	0	2012-09-28 15:44:33	0.9	
T0000056_ch1	8	0	1	0	2012-09-28 15:44:41	0.6	
T0000057_ch1	5	0	0	0	2012-09-28 15:44:42	0.6	
T0000058_ch1	5	5	2	0	2012-09-28 15:44:45	1.5	
T0000059_ch1	0	1	0	0	2012-09-28 15:44:48	0.7	
T0000060_ch1	6	1	0	0	2012-09-28 15:44:48	0.9	
T0000061_ch1	1	3	0	0	2012-09-28 15:44:50	0.6	
T0000062_ch1	2	2	0	3	2012-09-28 15:44:51	1.9	
T0000063_ch1	4	1	0	0	2012-09-28 15:44:55	1.0	
T0000064_ch1	2	0	1	0	2012-09-28 15:44:59	0.6	
T0000065_ch1	5	0	0	0	2012-09-28 15:45:00	0.7	
T0000066_ch1	4	0	0	0	2012-09-28 15:45:02	0.6	
T0000067_ch1	6	2	1	0	2012-09-28 15:45:03	1.0	
T0000068_ch1	1	1	0	0	2012-09-28 15:45:04	0.6	
T0000069_ch1	0	4	0	0	2012-09-28 15:45:05	0.9	
T0000070_ch1	3	0	0	0	2012-09-28 15:45:09	0.7	
T0000071_ch1	4	0	0	1	2012-09-28 15:45:10	0.6	
T0000072_ch1	5	0	0	0	2012-09-28 15:45:11	0.6	
T0000073_ch1	6	0	0	0	2012-09-28 15:45:16	0.6	
T0000074_ch1	8	0	0	0	2012-09-28 15:45:17	0.6	
T0000075_ch1	4	3	0	1	2012-09-28 15:45:18	0.8	
T0000076_ch1	0	1	2	0	2012-09-28 15:45:21	0.7	
T0000077_ch1	6	0	0	0	2012-09-28 15:45:22	0.7	
T0000078_ch1	3	3	0	0	2012-09-28 15:45:24	1.4	
T0000079_ch1	3	2	0	0	2012-09-28 15:45:25	1.1	
T0000080_ch1	6	2	1	0	2012-09-28 15:45:27	1.3	
T0000081_ch1	5	2	1	1	2012-09-28 15:45:28	1.2	
T0000082_ch1	0	1	0	0	2012-09-28 15:45:30	0.6	
T0000083_ch1	2	1	1	0	2012-09-28 15:45:32	0.6	
T0000084_ch1	5	1	0	5	2012-09-28 15:45:35	1.5	
T0000085_ch1	7	5	2	0	2012-09-28 15:45:36	1.6	
T0000086_ch1	3	0	0	0	2012-09-28 15:45:47	0.6	
T0000087_ch1	2	2	0	3	2012-09-28 15:45:48	1.0	
T0000088_ch1	3	1	0	0	2012-09-28 15:45:51	0.6	
T0000089_ch1	5	0	0	0	2012-09-28 15:45:54	0.6	
T0000090_ch1	2	0	0	0	2012-09-28 15:45:55	0.6	
