mfcc1_mean	mfcc1_std	mfcc1_skew	mfcc1_kurtosis	mfcc2_mean	mfcc2_std	mfcc2_skew	mfcc2_kurtosis	mfcc3_mean	mfcc3_std	mfcc3_skew	mfcc3_kurtosis	mfcc4_mean	mfcc4_std	mfcc4_skew	mfcc4_kurtosis	mfcc5_mean	mfcc5_std	mfcc5_skew	mfcc5_kurtosis	mfcc6_mean	mfcc6_std	mfcc6_skew	mfcc6_kurtosis	mfcc7_mean	mfcc7_std	mfcc7_skew	mfcc7_kurtosis	mfcc8_mean	mfcc8_std	mfcc8_skew	mfcc8_kurtosis	mfcc9_mean	mfcc9_std	mfcc9_skew	mfcc9_kurtosis	mfcc10_mean	mfcc10_std	mfcc10_skew	mfcc10_kurtosis	mfcc11_mean	mfcc11_std	mfcc11_skew	mfcc11_kurtosis	mfcc12_mean	mfcc12_std	mfcc12_skew	mfcc12_kurtosis	energy_mean	energy_std	energy_skew	energy_kurtosis	zcr_mean	zcr_std	zcr_skew	zcr_kurtosis	filename	classification
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	string	discrete
																																																								meta	class
-12.0601992872	0.592252584054	1.14583086623	1.40448309078	0.354880807364	0.561197197469	0.869625209573	-0.0536054345379	0.139788430732	0.202532981342	-0.116324186405	0.466203380869	-0.256831267016	0.488833698718	-1.26071842643	0.338108583313	-0.348605715153	0.455308867879	-1.27761042512	0.380110151857	-0.24083498393	0.274956016596	-0.777800015554	-0.39498002005	-0.113506234571	0.138441629223	-0.331259118271	-0.90875718297	0.0256057924963	0.155936351841	0.12900597254	1.07061234887	0.105508288979	0.213639615569	1.92302219416	5.36312820068	0.090240742318	0.170830821846	0.258276313912	-0.722613913066	0.0881787317619	0.132713209354	2.28418338395	5.41604891164	0.0155136190578	0.0982836952787	0.390442699749	-0.836032312071	0.0136433137824	0.00658355429677	2.09654085369	3.70541397763	0.304984714674	0.0483729075743	-0.935048849876	3.70541397763	c2486_418_call003.wav	hfm
-12.2325223751	0.657211648556	1.81254314431	7.62283812918	0.220334484624	0.385526084196	0.670532503993	0.659724318362	0.10595164704	0.201481836537	-0.530320785665	1.84501287931	0.130924168259	0.179521111345	-0.552600426667	2.15078082789	0.108587638427	0.205012604279	0.794532804071	3.37350240036	0.169472652258	0.208314643136	1.04258230291	2.48433958422	0.0640366588849	0.160673198855	0.638280689019	1.2547388105	0.0278099566216	0.168014802582	1.23784071955	3.15180280351	0.063878886308	0.180047279683	0.970748499873	2.19900402507	0.0346724311377	0.16612974834	0.849857708199	1.91622111722	-0.0355991960766	0.145764100011	0.357185588273	0.0706135227701	0.0588177953154	0.133986154839	0.0219753364172	0.457745784864	0.0121220969524	0.00728029108297	2.95051716868	11.4081544149	0.339927626534	0.0855160216095	0.26300728137	11.4081544149	T0000000_ch2_005.wav	hfm
-12.2504188194	0.651342453117	1.19635144569	1.20486557506	0.176546907023	0.440229637537	0.847917697645	0.00795871328055	0.0705330494812	0.168136311904	0.00766606579451	0.801008641529	0.142128961391	0.143893484652	0.376868418636	-0.152954737857	0.108890634846	0.159850912561	0.136370672721	-0.736556744635	0.0762945197838	0.134524558554	-0.265915089059	0.31311181211	0.00468162529101	0.139452750635	0.137116561268	0.282689657794	-0.0171496976706	0.11944973172	0.941832259899	2.0809677203	0.0327092229865	0.129130265737	0.117890545282	0.46547739917	0.0221320215791	0.126475243953	-0.343573989075	0.341374828194	-0.0192977064717	0.119361561358	-0.524891700331	0.561839917446	0.0380684053256	0.118725298201	-0.407059191619	0.510699564644	0.0107686418871	0.00538755757097	2.29982854922	6.33630394797	0.363972981771	0.0887716615983	-0.0826275679851	6.33630394797	T0000001_ch2_001.wav	hfm
-12.8801974139	0.245210821897	-2.73586507101	8.84686458139	-0.357251044431	0.231467216457	-0.601601842643	-0.46483439002	-0.130936127628	0.292788253201	-1.06971472624	0.536189930945	0.0497761816683	0.18506801811	-0.179536960948	-0.74771652697	0.148029221901	0.196990038898	0.0202591830896	0.0718671937228	-0.00992315391741	0.173724286746	0.441664064384	-0.306801114753	-0.0723103353513	0.182212578761	-0.7161205674	0.572688044456	0.0448468457275	0.13446701052	0.398825037804	0.010920666469	-0.00895058571468	0.197065652246	-0.195862498312	-0.44756474327	-8.28244360062e-05	0.173706846267	0.54345052659	0.212119521552	0.00988328714551	0.148515472125	-0.297277340505	-0.330908210027	0.103145292615	0.117979720303	0.750212163857	-0.222913243801	0.00654794182753	0.000813471871138	-0.231779369934	0.33077594299	0.506666100543	0.079421797189	0.427598814169	0.33077594299	T0000001_ch2_005.wav	hfm
-12.4285968282	0.527171666826	0.324624098202	0.759127654507	0.0685759164264	0.286122908603	0.798385212515	-0.493245542986	0.134914046833	0.141315183799	0.179839207138	-0.405958271289	0.0155592597715	0.115573280713	-0.436989265499	-0.376332980536	0.0500558638903	0.117907040843	-0.517872836805	2.01364910832	0.0534129713842	0.115707935117	-0.107482136426	1.21331860873	0.0112466093161	0.0886352633432	0.135273912777	-0.5003059058	0.0225654304424	0.11534896125	-0.17518345062	-0.852802175888	0.0161322120579	0.104769493305	-0.838912998816	1.85825771776	-0.00376593037951	0.0871086252873	-0.520210217337	-0.311410630018	-0.0672493437059	0.104487117982	-0.0460863380194	-0.370732756929	0.0121572039292	0.107973414447	-0.185794423587	-0.725011928905	0.009258838739	0.00345644993073	1.0911244516	-0.117920141304	0.386876260081	0.080804028464	-0.578254335187	-0.117920141304	T0000001_ch2_006.wav	hfm
-13.0308453716	0.296215625059	-2.45445646776	8.16203833009	-0.400880236105	0.169862178532	-0.200532448762	-0.797172374816	-0.150953993404	0.166416735884	-0.540465507482	0.530342558468	0.0471909587981	0.169857576598	-0.00569480625814	0.644176251743	0.0040232093417	0.123161025955	0.415654670734	0.24780165563	-0.0334737590839	0.199103911117	-0.385925608357	0.273191360689	0.0313627543323	0.129444086079	0.685913487642	0.356107798047	0.035646361395	0.110397232445	0.827386175906	-0.09624129152	-0.0520744660223	0.103167971417	-0.0515016151042	-0.672326432329	-0.020323589599	0.0792310850114	-0.351293921304	1.93836348599	0.00113923100652	0.119149304553	-0.10609556167	0.725561927724	-0.0238798738169	0.101254283516	-0.1228528158	0.332859832581	0.00597443672455	0.00109379830611	1.22192418774	1.61477399604	0.504245923913	0.0685771525564	-1.20330807721	1.61477399604	T0000004_ch2_004.wav	hfm
-12.1787985616	0.550533889688	-0.122342132992	-0.00568761517825	0.130290248246	0.360422312418	0.069401285492	0.0337992149012	0.0996102033309	0.177208861369	0.334809399856	0.286779724279	0.11943075448	0.198286952854	0.120843396649	-0.28788876073	0.0226998597078	0.186174700616	-0.533501999035	2.39766690622	0.0992345583794	0.154645195802	0.335472091354	0.510168410302	-0.0041038649569	0.151382491178	-0.436341696664	0.692893835571	-0.0310818065678	0.154371864165	0.0878207613507	0.183478135666	0.0409005456346	0.155304669055	0.277023463673	0.341062679083	0.00125809822381	0.12922160784	-0.370599271385	0.833641534123	-0.0438721714486	0.134448803144	-0.166634747651	-0.29488344591	0.104208363619	0.168594046692	0.945808065238	0.987851697719	0.0103223761355	0.00320651769219	0.436793777644	-0.339188836821	0.382667541504	0.0854533245599	0.338320880405	-0.339188836821	T0000007_ch2_001 copy.wav	hfm
-12.0875519937	0.549998470236	-0.446631034197	1.0492595822	0.269167261708	0.348409578501	0.216825707506	-0.470343852763	0.127740865288	0.180646580582	0.579961739221	0.715123428998	0.138563017358	0.199409167376	-0.274576372042	-0.103054820403	0.0476865528836	0.226083555662	-0.918671750255	1.97487673437	0.0850933033932	0.124600109981	-0.21318639381	-0.253059259932	0.016751929705	0.121339660607	-0.409783124147	-0.193079644191	-0.0216197159565	0.163271926167	0.114396167943	-0.503912857016	0.0379587856884	0.128714871259	0.131873677714	1.04775678632	0.0226483529305	0.113746319695	0.00797771468882	-0.504089893636	-0.0295099047207	0.138589056995	-0.116006640428	-0.328543777156	0.106854847183	0.14853049462	1.07908859021	2.34481001746	0.0112828811222	0.00313463394732	0.256555245017	0.0452148281332	0.339976165254	0.0699643832863	0.881031072539	0.0452148281332	T0000007_ch2_001.wav	hfm
